id,area,feature,user_story,expected_behavior,source,tests,status,test_method,result,errors_found,fix_applied,retest_result
DASH-11,Dashboard,Rescan workspaces (r),"As a user, I want to refresh the workspace list, so that externally-created worktrees appear.","Pressing 'r' emits RescanWorkspaces, triggering an async worktree scan; dashboard updates with new/removed workspaces. ('g' is jump-to-top, not rescan.)",dashboard/dashboard_navigation.go,app/app_operations_rescan_test.go,Pass,code-trace (Phase 2 multi-agent verify),"handleNavKey binds 'r' to m.refresh() (model_update.go:174-175); refresh emits messages.RescanWorkspaces{} (dashboard_navigation.go:279-281). Help line labels 'r rescan' (dashboard_render.go:206). NOTE: the catalog's 'r/g' is inaccurate — 'g' is bound to jump-to-top (model_update.go:182-187), NOT rescan. Only 'r' triggers a rescan. The code is internally consistent and correct (help text matches behavior), so the 'g' claim is a catalog error, not a code defect; the rescan-via-r feature works.",,,
DASH-12,Dashboard,Toolbar Commands button,"As a user, I want a [Commands] button, so that I can open the command palette without keybindings.",j/Down from the last row focuses the toolbar; Left/Right or h/l move between buttons; Enter/click on [Commands] opens the command palette. (No Tab binding.),dashboard/dashboard_toolbar.go; model_update.go,dashboard/toolbar_click_test.go,Pass,code-trace (Phase 2 multi-agent verify),"handleNavKey j/down transitions to toolbar when at last selectable row (model_update.go:142-146: sets toolbarFocused=true, toolbarIndex=0). handleToolbarKey (model_update.go:120-135) maps left/h and right/l to wrap toolbarIndex, and enter to toolbarCommand. toolbarCommand(toolbarCommands) emits messages.ShowCommandsPalette (dashboard_toolbar.go:25-29). Click also opens it (handleToolbarClick + TestToolbarClick). NOTE: the catalog's 'Tab' is inaccurate — no 'tab' binding exists in the dashboard or app keymap; the toolbar is reached via j/down only. Code is correct; 'Tab' is a catalog overstate…",,,
DASH-13,Dashboard,Toolbar Settings button,"As a user, I want a [Settings] button, so that I can open settings from the dashboard.",Enter/click on [Settings] opens the Settings dialog.,dashboard/dashboard_toolbar.go,dashboard/toolbar_click_test.go,Pass,code-trace (Phase 2 multi-agent verify),"toolbarItems includes {toolbarSettings, 'Settings'} (dashboard_toolbar.go:18-23). handleToolbarKey enter -> toolbarCommand (model_update.go:132-134); handleToolbarClick -> toolbarCommand on the clicked button (dashboard_toolbar.go:129-136). toolbarCommand(toolbarSettings) emits messages.ShowSettingsDialog (dashboard_toolbar.go:30-31). Tested by TestToolbarClick 'click Settings button' asserting ShowSettingsDialog.",,,
DASH-14,Dashboard,Mouse wheel scroll + click select,"As a user, I want wheel scroll and click selection, so that I can use a mouse/trackpad.",Wheel moves cursor ~10% of pane height and auto-activates; left-click on a selectable row selects+activates it; clicks on borders ignored.,dashboard/model_update.go,dashboard/click_test.go,Pass,code-trace (Phase 2 multi-agent verify),"MouseWheelMsg handler (model_update.go:18-30): delta = common.ScrollDeltaForHeight(visibleHeight, 10) = max(1, height/10) (~10%, scroll.go:5-11); wheel up/down moveCursor(∓delta) then activateCurrentRow (auto-activate). Left-click selects+activates selectable rows via handleEnter (model_update.go:32-73); non-selectable rows are ignored (line 50-52). rowIndexAt returns false for border/out-of-bounds clicks (dashboard_navigation.go:113-161). Tested by TestRowIndexAt and TestClickOutsideContentArea (borders ignored).",,,
DASH-15,Dashboard,Creating/Deleting spinners,"As a user, I want progress feedback during create/delete, so that I know an operation is in flight.",Rows being created show an animated spinner + 'creating'; deleting rows show spinner + 'deleting' (updates ~80ms); delete status overrides active styling.,dashboard/dashboard_render.go; dashboard_state.go,dashboard/dashboard_state_test.go,Pass,code-trace (Phase 2 multi-agent verify),"renderRow shows animated SpinnerFrame(m.spinnerFrame) + ' creating'/' deleting' for creating/deleting workspaces (dashboard_render.go:105-110 workspace, 44-46 project). spinnerInterval = 80ms (model.go:17); SpinnerTickMsg advances spinnerFrame while creating/deleting maps are non-empty (model_update.go:85-92; tickSpinner dashboard_state.go:14-18). Deletion is checked FIRST in the if/else chain so deleting overrides active styling (working stays false; dashboard_render.go:105-116). projectRowActive also returns false for a deleting project (dashboard_state.go:188-196). Tested by TestDashboardP…",,,
DASH-16,Dashboard,Git dirty indicator,"As a user, I want to see which workspaces have uncommitted changes, so that I can spot ones needing attention.","When git status is not clean, the row text renders in muted/secondary colour (when not selected/active). Status cached and invalidated on update.",dashboard/dashboard_render.go; model.go,(trace),Pass,code-trace (Phase 2 multi-agent verify),"applyDirtyForeground (dashboard_render.go:9-16) sets common.ColorSecondary() when dirty && !active && !selected; called for both project (line 68) and workspace (line 131) rows. dirty is set from statusCache when !s.Clean (dashboard_render.go:47-49, 114-116). InvalidateStatus (model.go:114-119) keeps dirty sticky until a fresh clean result arrives, and GitStatusResult updates the cache (model_update.go:97-100). Catalog 'muted/secondary' maps to ColorSecondary — accurate.",,,
DASH-17,Dashboard,Active workspace + agent-activity indicator,"As a user, I want the active workspace and workspaces with running agents highlighted, so that I know my context.",Active row renders in primary colour; workspaces with running chat agents (activeWorkspaceIDs) render in active style.,dashboard/dashboard_render.go; dashboard_state.go,dashboard/active_test.go,Pass,code-trace (Phase 2 multi-agent verify),"Active workspace: when selected+working renderRow uses ColorPrimary (dashboard_render.go:124-127); when active-not-selected it uses styles.ActiveWorkspace (line 128-129). 'working' is set from row.ActivityWorkspaceID present in m.activeWorkspaceIDs (line 111-113), populated via SetActiveWorkspaces from center (model.go:107-109). Project rows go active via projectRowActive only when the main workspace is in activeWorkspaceIDs and not deleting (dashboard_state.go:188-196). Tested by TestDashboardIsProjectActive and TestDashboardProjectRowActive_DeletingSupersedesActive.",,,
DASH-18,Dashboard,Auto-scroll keeps cursor visible,"As a user, I want the list to scroll so my selection stays on screen, so that I never lose my place.",scrollOffset adjusts so the cursor stays within the viewport; clamped so it never exceeds rows minus visible height.,dashboard/model_update.go; dashboard_state.go,dashboard/click_test.go,Pass,code-trace (Phase 2 multi-agent verify),View() adjusts scrollOffset so cursor stays visible (model_update.go:210-215: clamps below cursor and above cursor-visibleHeight+1). clampScrollOffset (dashboard_state.go:126-137) caps at maxOffset = len(rows)-visibleHeight (>=0) and floors at 0; called from rebuildRows and SetProjects. Regression-tested by TestClickAfterDeleteAndAddProject and TestSetProjectsPreservesScrollOffset (click_test.go).,,,
DASH-19,Dashboard,Cursor anchor after deletion,"As a user, I want the cursor to land on the predecessor after delete, so that repeated D deletes walk upward intuitively.","After a delete rebuild, cursor re-anchors to the row above the deleted one (predecessor), not the successor.",dashboard/dashboard_navigation.go,dashboard/dashboard_cursor_anchor_test.go,Pass,code-trace (Phase 2 multi-agent verify),"SetProjects captures selectedWorkspaceIDAt(prevCursor) before rebuild, then resolveCursorAfterRebuild re-anchors (model.go:163-177). resolveCursorAfterRebuild (dashboard_navigation.go:59-80): if the workspace still exists, cursor follows it by ID; if gone, it lands on the nearest selectable row strictly ABOVE the old slot (predecessor) via findSelectableRow(prevCursor-1, -1). Explicitly tested by TestSetProjects_AnchorsCursorToPredecessorOnDelete (verifies it lands on predecessor, not successor).",,,
DASH-20,Dashboard,Long-name truncation + resize,"As a user, I want names truncated and layout to adapt on resize, so that the dashboard stays readable.",Names exceeding available width are truncated with ellipsis accounting for status/delete-icon/borders; SetSize recomputes layout.,dashboard/dashboard_render.go; model.go,(trace),Pass,code-trace (Phase 2 multi-agent verify),"renderRow truncates names with '…' when lipgloss.Width(name) > maxNameWidth, where maxNameWidth accounts for width-3 (border/padding), status width, deleteSlotWidth(3), and prefix width (dashboard_render.go:77-86 project, 139-148 workspace). SetSize stores width/height (model.go:142-145) used by visibleHeight, rowIndexAt, and all width math, so layout recomputes on resize. Truncation loops removing runes until it fits maxNameWidth-1, leaving room for the ellipsis.",,,
DASH-21,Dashboard,Keymap hints line,"As a user, I want a hints line of keybindings, so that I can learn controls in place.","When showKeymapHints is on, a wrapped hint line shows k/j, enter, D, r, g/G, C-Space, C-Space S, C-Space q.",dashboard/dashboard_render.go; model.go,(trace),Pass,code-trace (Phase 2 multi-agent verify),"helpLines (dashboard_render.go:191-216) builds: k/↑ up, j/↓ down, enter open, then D (delete on RowWorkspace / remove on RowProject, lines 197-204), r rescan, g top, G bottom, C-Space Commands, C-Space S Settings, C-Space q quit; wrapped via common.WrapHelpItems(items, contentWidth). Gated by showKeymapHints in helpLineCount (dashboard_render.go:180-189) and View() (model_update.go:250). All hints listed in the catalog are present and labels match the actual key bindings.",,,
CTR-01,Center,Create agent tab (C-Space t a),"As a user, I want to create an agent tab, so that I can run Claude/Codex/etc in parallel.","C-Space t a opens the assistant picker; selecting one spawns a tmux session running the agent, creates a vterm, captures scrollback, adds the tab, makes it active.",center/model_tabs.go; app/app_prefix.go,"center/model_tabs_test.go, model_tabs_session_add_test.go; e2e/workspace_agent_test.go",Pass,code-trace (Phase 2 multi-agent verify),"app/app_prefix.go:35 maps `t a`->`new_agent_tab`; runPrefixAction (app_prefix.go:217-224) guards workspace/tmux and emits ShowSelectAssistantDialog. center/model_tabs.go:103-166 createAgentTabWithSession spawns the tmux session via CreateAgentWithTags, captures scrollback (line 149 tmux.CapturePane), and handlePtyTabCreated (lines 168-389) creates the vterm, adds the tab to ByWorkspace, and activates it (Activate:true -> setActiveTabIdxForWorkspace). Matches expected_behavior.",,,
CTR-02,Center,Create terminal tab (C-Space t t),"As a user, I want a plain terminal tab, so that I can run a shell without an agent.","C-Space t t creates a terminal tab in the sidebar terminal model (workspace-global, no sidebar focus needed).",app/app_prefix.go; sidebar/terminal_tab_ops.go,sidebar/terminal_tab_ops_test.go,Pass,code-trace (Phase 2 multi-agent verify),"app/app_prefix.go:36 maps `t t`->`new_terminal_tab`; runPrefixAction (lines 225-233) routes unconditionally to a.sidebarTerminal.CreateNewTab() with the comment 'Intentionally global to the workspace (no sidebar focus required)'. sidebar/terminal_tab_ops.go CreateNewTab (line 59) creates a terminal tab for the current workspace. No focusedPane check is applied, so it is workspace-global as claimed.",,,
CTR-03,Center,Next/Prev tab (C-Space t n / t p),"As a user, I want to cycle tabs, so that I can move between agents.","t n / t p cycle circularly via TabSet Next/PrevIdx, set active idx, trigger selection-change (auto-reattach if detached) and persist.",center/model_tabs_actions.go,center/model_tabs_actions_test.go,Pass,code-trace (Phase 2 multi-agent verify),"center/model_tabs_actions.go:100-113 nextTab/prevTab use m.tabs.NextIdx/PrevIdx (circular TabSet math) then setActiveTabIdx. Public wrappers NextTab/PrevTab (lines 153-163) call tabSelectionCommand()->tabSelectionChangedCmd(true) which (model_tabs_session.go:96-114) batches TabSelectionChanged, flushActiveTabBacklogCmd, and autoReattachActiveTabOnSelection (auto-reattach if detached). app_prefix.go cycleTab persists via persistActiveWorkspaceTabs. Matches.",,,
CTR-04,Center,Jump to tab by number (C-Space 1-9),"As a user, I want to jump to a tab by digit, so that I can switch quickly.","In prefix mode, 1-9 selects that tab (0-indexed); only shown when center has multiple tabs; terminates prefix immediately.",app/app_prefix.go; center/model_tabs_actions.go,app/app_prefix_test.go,Pass,code-trace (Phase 2 multi-agent verify),app/app_prefix.go:105-108 in prefix mode a single digit '1'-'9' returns prefixMatchComplete with prefixSelectTab(digit-'1') (0-indexed). prefixSelectTab (lines 316-323) calls center.SelectTab(index) which is 0-indexed (model_tabs_actions.go:171-178). The palette only lists '1-9' when showNumericTabJump() returns len(tabs)>1 (app_prefix_palette_visibility.go:51-57). Prefix terminates immediately via exitPrefix on prefixMatchComplete (app_input_keys.go:69-71). Matches.,,,
CTR-05,Center,Close tab (C-Space t x),"As a user, I want to close the active tab, so that I can clean up finished agents.","t x marks tab closing, stops PTY reader, closes agent, clears refs, removes from slice, adjusts active idx, async-kills the tmux session; emits TabClosed.",center/model_tabs_actions.go,center/model_tabs_actions_test.go,Pass,code-trace (Phase 2 multi-agent verify),"center/model_tabs_actions.go:24-91 closeTabAt: tab.markClosing() (line 31), stopPTYReader (line 37), CloseAgent (line 41), clears DiffViewer/Terminal/CachedSnap/Workspace refs and resetPTYStateLocked (lines 50-59), markClosed, removeTab, adjusts active idx (lines 67-75), emits TabClosed (line 78), and async-kills tmux via tea.Batch(closedCmd, killCmd) when sessionName!='' (lines 82-88). A detached tab still has SessionName set so its session is also killed. Matches.",,,
CTR-06,Center,Detach tab (C-Space t d),"As a user, I want to detach a tab while keeping its tmux session alive, so that I can reconnect later.","t d stops the PTY reader, marks detached, saves SessionName, closes the PTY client but does NOT kill tmux; indicator goes muted; reattachable.",center/model_tabs_session.go,center/model_tabs_session_detach_test.go,Pass,code-trace (Phase 2 multi-agent verify),"center/model_tabs_session.go:14-61 detachTab: gates non-chat/diff tabs with an info toast, stopPTYReader (line 41), markDetachedEndingReattachLocked + resetPTYStateLocked (lines 43-44), saves SessionName from Agent.Session if empty (lines 45-47), CloseAgent (does NOT kill tmux), emits TabDetached. renderTabBar (model_render_tabbar.go:74-106) renders detached tabs with ColorMuted indicator/name. Reattachable via ReattachActiveTab. Matches.",,,
CTR-07,Center,Reattach detached tab (C-Space t r),"As a user, I want to reattach a detached session, so that I can resume a backgrounded agent.","t r queries the tmux session, captures scrollback/snapshot, creates a new PTY client (not session), updates the tab in place by TabID, restarts the reader. Also auto-reattaches on tab select.",center/model_tabs_session_reattach.go,"center/model_tabs_session_reattach_order_test.go, auto_reattach_test.go",Pass,code-trace (Phase 2 multi-agent verify),"center/model_tabs_session_reattach.go:88-265 ReattachActiveTab queries session state (sessionStateForFn), captures bootstrap snapshot/scrollback, calls CreateAgentWithTags (uses tmux new-session -Ads = attach-if-exists, a new client not a new session) and returns ptyTabReattachResult; updatePtyTabReattachResult updates the tab in place by TabID and restarts the reader. autoReattachActiveTabOnSelection (model_tabs_session.go:146-163) auto-reattaches detached tabs on selection. Matches.",,,
CTR-08,Center,Restart tab (C-Space t s),"As a user, I want to restart a stopped/detached agent fresh, so that I can resurrect a crashed agent.","t s kills the old tmux session (if any), creates a brand-new one, starts a fresh agent PTY, updates tab in place — clean slate vs reattach.",center/model_tabs_session_reattach.go,center/model_tabs_session_reattach_test.go,Pass,code-trace (Phase 2 multi-agent verify),"center/model_tabs_session_reattach.go:267-380 RestartActiveTab: emits 'Tab is still running' toast if running, otherwise stopPTYReader, closes existing Agent, then in the async cmd killSessionFn(sessionName) (line 334) kills the old session and CreateAgentWithTags creates a brand-new session+agent (clean slate, fresh scrollback capture lines 366-367). Distinct from reattach which preserves the existing session. Matches.",,,
CTR-09,Center,Attached-agent tab limit auto-detach,"As a user, I want idle agent tabs auto-detached at a limit, so that I don't run too many agents at once.",EnforceAttachedAgentTabLimit sorts attached chat tabs by lastFocusedAt and auto-detaches the excess; the focused tab is protected; non-chat tabs ignored.,center/model_tabs_limit.go; app/app_attached_limit.go,center/model_tabs_limit_test.go; app/app_attached_limit_test.go,Pass,code-trace (Phase 2 multi-agent verify),"center/model_tabs_limit.go:27-111 EnforceAttachedAgentTabLimit: returns early when maxAttached<=0; iterates all ByWorkspace tabs, counts attached chat tabs (skips non-chat via !isChatTab line 40, and detached/non-running via attached check line 44/49); protects the focused tab (wsID==activeWorkspaceID && idx==activeTabIdx, lines 53-55); sorts candidates by lastFocusedAt (oldest first, lines 73-89) and detaches the excess via detachTab. Matches.",,,
CTR-10,Center,Tab bar rendering + indicators,"As a user, I want a compact tab bar with status, so that I can see which agents are running/disconnected.","Single-line bar: brand-colour running/idle dot, assistant name (muted if disconnected), close ×, active-tab highlight, '+New' on right; hit regions for clicks.",center/model_render_tabbar.go,center/model_render_test.go,Pass,code-trace (Phase 2 multi-agent verify),"center/model_render_tabbar.go:12-168 renderTabBar: single-line bar; brand-colour Running/Idle dot indicator for chat tabs (lines 53-58, AgentColor), muted name/indicator when disconnected (lines 93-106), active-tab highlight via ActiveTab style + Surface2 bg (lines 70-89), close 'x' (× lines 64/87/107), and '+ New' button on the right (line 150); registers tabHit regions (tabHitTab/tabHitClose/tabHitPlus) for clicks. Matches.",,,
CTR-11,Center,Tab bar mouse (switch/close/new),"As a user, I want to click the tab bar, so that I can switch/close/create tabs by mouse.",Click close-button region closes; click tab region selects+flushes; click '+New' opens the assistant picker.,center/model_render_tabbar.go; model_input_mouse.go,center/model_input_mouse_test.go,Pass,code-trace (Phase 2 multi-agent verify),"center/model_render_tabbar.go:170-208 handleTabBarClick checks close-button hit regions first (lines 189-193 -> closeTabAt), then tab regions (tabHitTab -> setActiveTabIdx + tabSelectionChangedCmd which flushes, lines 200-203) and '+ New'/empty (tabHitPlus -> ShowSelectAssistantDialog, line 198-199). model_input_mouse.go:18-23 routes left-clicks to handleTabBarClick even without an active agent. Matches.",,,
CTR-12,Center,Wheel scroll terminal scrollback,"As a user, I want to wheel-scroll terminal history, so that I can review past output.","Wheel up/down on an active terminal scrolls scrollback by delta lines, clamped to max; routed via tab-actor (sync fallback). Diff viewer wheel checked first.",center/model_input_mouse.go; model_scrolled_history.go,center/selection_scroll_test.go; e2e/mouse_scroll_test.go,Pass,code-trace (Phase 2 multi-agent verify),"center/model_input_mouse.go:205-264 updateMouseWheel: first dispatchDiffInput (line 216, diff viewer checked first), then forwardMouseWheelToTerminal (mouse-reporting passthrough), then scrolls scrollback by delta=ScrollDeltaForHeight(height,8) (~12.5% height) clamped, routed via tab-actor tabEventScrollBy with a sync scrollTerminalViewLocked fallback (lines 230-261). Catalog says 'by delta lines, clamped to max' — accurate.",,,
CTR-13,Center,Keyboard page scroll (PgUp/PgDn),"As a user, I want PgUp/PgDn to scroll history, so that I can review output by keyboard.","PgUp scrolls up, PgDn down by ~¼ height (via tab-actor); typing any other key snaps back to the live bottom.",center/model_input_keys.go; model_scrolled_history.go,(trace),Pass,code-trace (Phase 2 multi-agent verify),"center/model_input_keys.go:162-170 handleScrollbackKey maps PgUp->scrollTerminalPage(+1), PgDn->scrollTerminalPage(-1); scrollTerminalPage (lines 172-192) and tab_actor.go:248-252 handleScrollPage both use ScrollDeltaForHeight(height,4)=~1/4 height (not up to 1/2, but the '~1/4-1/2' wording is an imprecise overstatement; behaviour is sound). forwardKeyToTerminal (lines 122-132) calls scrollToBottomOnType for any non-scroll/non-ctrl key, snapping back to live bottom. Matches.",,,
CTR-14,Center,Mouse text selection + copy,"As a user, I want to drag-select terminal text and copy it, so that I can reuse output.","Click starts selection, drag extends (auto-scrolls when out of bounds), release auto-copies to clipboard; Cmd+C copies the active selection without clearing.",center/model_input_mouse.go; tab_actor_selection.go,"center/selection_test.go, tab_actor_selection_test.go",Pass,code-trace (Phase 2 multi-agent verify),center/model_input_mouse.go:15-202 selection start/update/release: release auto-copies via CopyToClipboardWithLog (line 200) / tabEventSelectionFinish->handleSelectionFinish (tab_actor_selection.go:124-143) which copies; drag auto-scrolls at out-of-bounds Y (lines 134-140). Cmd+C: model_input_keys.go:36-62 handleCopyKey sends tabEventSelectionCopy->handleSelectionCopy (tab_actor_selection.go:42-53) which copies WITHOUT clearing the selection (distinct from handleSelectionClearAndNotify). tab_actor.go:197-198 confirms the mapping. Matches.,,,
CTR-15,Center,Scrolled chat-history view,"As a user, I want scrollback to show only history while scrolled up, so that live output doesn't intrude while reading.","For chat tabs with ViewOffset>0, the screen is replaced by a scrollback-only snapshot; cursor/selection rebased to the visible range.",center/model_scrolled_history.go; model_render.go,center/model_scrolled_history_test.go,Pass,code-trace (Phase 2 multi-agent verify),"center/model_scrolled_history.go:182-215 applyScrolledChatHistoryViewLocked replaces the snapshot Screen with a scrollback-only window when ViewOffset>0 for chat tabs; model_render.go:51-52 calls it for chat tabs in View(). rebaseScrolledChatSelection (lines 217-279) rebases the selection to the visible range, and displayedScreenYToAbsoluteLineLocked (lines 104-112) rebases cursor/click mapping. Matches.",,,
CTR-16,Center,Open diff viewer tab,"As a user, I want to open a git diff in a tab, so that I can review file changes inside amux.",An OpenDiff message creates/reuses a diff tab (diff.Model) replacing the terminal in that tab; diff loads async; tab remains switchable/closable.,center/model_input.go; diff/model.go,center/model_tabs_diff_reuse_test.go; app/app_input_open_diff_test.go,Pass,code-trace (Phase 2 multi-agent verify),"center/model_input.go:131-132 routes messages.OpenDiff to updateOpenDiff (model_input_lifecycle.go:229-234) -> createDiffTab. model_tabs_viewer.go:118-162 createDiffTab reuses an existing matching diff tab (findOpenDiffTab/MatchesSource) or creates a new Tab with a diff.Model DiffViewer (no PTY/Agent), appends it and activates it; dv.Init() loads the diff async (diff/model.go:61-119). The tab is switchable (in ByWorkspace) and closable (no Agent, closeTabAt works). Matches.",,,
